Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,1,ICBC,Banking,China,134774,37805,2813507,237264
2013,2,China Construction Bank,Banking,China,113081,30617,2241031,202004
2013,3,JPMorgan Chase,Banking,United States of America,108184,21284,2359141,191450
2013,4,General Electric,Conglomerates,United States of America,147359,13641,685328,243735
2013,5,Exxon Mobil,Oil & Gas Operations,United States of America,420714,44880,333795,400418
2013,6,HSBC Holdings,Banking,United Kingdom,104934,14320,2684116,201312
2013,7,Royal Dutch Shell,Oil & Gas Operations,Netherlands,467153,26592,360325,213145
2013,8,Agricultural Bank of China,Banking,China,102998,22996,2124193,150844
2013,9,Berkshire Hathaway,Diversified Financials,United States of America,162463,14824,427452,252805
2013,10,PetroChina,Oil & Gas Operations,China,308929,18278,347849,261164
2013,11,Bank of China,Banking,China,98119,22098,2033780,131683
2013,12,Wells Fargo,Banking,United States of America,91247,18897,1422968,201348
2013,13,Chevron,Oil & Gas Operations,United States of America,222580,26179,232982,232502
2013,14,Volkswagen Group,Consumer Durables,Germany,254022,28632,408232,94382
2013,15,Apple,Technology Hardware & Equipment,United States of America,164687,41747,196088,416622
2013,16,Wal-Mart Stores,Retailing,United States of America,469162,16999,203105,242530
2013,17,Gazprom,Oil & Gas Operations,Russia,143982,40583,339342,111368
2013,18,BP,Oil & Gas Operations,United Kingdom,370866,11582,300987,130394
2013,19,Citigroup,Banking,United States of America,90708,7541,1864660,143612
2013,20,Petrobras,Oil & Gas Operations,Brazil,144103,11034,331645,120656
2013,21,Samsung Electronics,Semiconductors,South Korea,187846,21657,196311,174393
2013,22,BNP Paribas,Banking,France,126214,8645,2504194,71279
2013,23,Total,Oil & Gas Operations,France,240500,14108,224124,115525
2013,24,AT&T,Telecommunications Services,United States of America,127434,7264,272315,200059
2013,25,Allianz,Insurance,Germany,140254,6815,915783,66362
2013,26,Sinopec-China Petroleum,Oil & Gas Operations,China,411684,10063,200043,106858
2013,27,Mitsubishi UFJ Financial,Banking,Japan,59014,11855,2653123,85697
2013,28,Bank of America,Banking,United States of America,100078,4188,2209974,135483
2013,29,China Mobile,Telecommunications Services,Hong Kong,88819,20488,168742,213824
2013,30,ENI,Oil & Gas Operations,Italy,163655,10014,185212,86290
2013,31,Toyota Motor,Consumer Durables,Japan,224491,3425,371336,167168
2013,32,Nestlé,"Food, Drink & Tobacco",Switzerland,100639,11584,134731,233516
