Year,Rank,Company,Industry,Country,Sales,Profits,Assets,Market Value,Region
2020,1,ICBC,Banking,China,177230,45284,4322528,242283,Asia
2020,2,China Construction Bank,Banking,China,162147,38915,3822048,203818,Asia
2020,3,JPMorgan Chase,Diversified Financials,United States of America,142927,29954,3139431,291737,NorthAmerica
2020,4,Berkshire Hathaway,Diversified Financials,United States of America,254616,81417,817729,455444,NorthAmerica
2020,5,Agricultural Bank of China,Banking,China,148692,30912,3697451,147174,Asia
2020,6,Saudi Arabian Oil Company (Saudi Aramco),Oil & Gas Operations,Saudi Arabia,329762,88205,398296,1684765,Asia
2020,7,Ping An Insurance Group,Insurance,China,154952,18751,1218615,187215,Asia
2020,8,Bank of America,Banking,United States of America,112065,24129,2619954,208646,NorthAmerica
2020,9,Apple,Technology Hardware & Equipment,United States of America,267712,57215,320400,1285516,NorthAmerica
2020,10,Bank of China,Banking,China,135353,27216,3387044,112774,Asia
2020,11,AT&T,Telecommunications Services,United States of America,179217,14417,545354,218558,NorthAmerica
2020,12,Toyota Motor,Consumer Durables,Japan,280529,22682,495064,173300,Asia
2020,13,Alphabet,IT Software & Services,United States of America,166310,34522,273403,919284,NorthAmerica
2020,14,ExxonMobil,Oil & Gas Operations,United States of America,255995,14340,362597,196588,NorthAmerica
2020,15,Microsoft,IT Software & Services,United States of America,138604,46266,285449,1359028,NorthAmerica
2020,16,Samsung Electronics,Technology Hardware & Equipment,South Korea,197568,18441,304868,278742,Asia
2020,17,Wells Fargo,Banking,United States of America,98866,14342,1981349,118797,NorthAmerica
2020,18,Citigroup,Diversified Financials,United States of America,104423,17091,2219770,101102,NorthAmerica
2020,19,Walmart,Retailing,United States of America,523964,14881,236495,344436,NorthAmerica
2020,20,Verizon Communications,Telecommunications Services,United States of America,131350,18389,294500,237728,NorthAmerica
2020,21,Royal Dutch Shell,Oil & Gas Operations,Netherlands,311562,9948,393961,126489,Europe
2020,22,Amazon,Retailing,United States of America,296274,10562,221238,1233351,NorthAmerica
2020,23,Volkswagen Group,Consumer Durables,Germany,275168,12044,538915,70402,Europe
2020,24,UnitedHealth Group,Insurance,United States of America,246268,13754,189067,277094,NorthAmerica
2020,25,Allianz,Insurance,Germany,122406,8858,1183532,77056,Europe
2020,26,China Merchants Bank,Banking,China,58381,13711,1094883,120856,Asia
2020,27,Comcast,Media,United States of America,108692,11651,262421,171749,NorthAmerica
2020,28,China Mobile,Telecommunications Services,Hong Kong,108106,15458,233895,164943,Asia
2020,29,Total,Oil & Gas Operations,France,176185,11259,273294,93061,Europe
2020,30,Postal Savings Bank Of China (PSBC),Banking,China,64365,8993,1522412,91967,Asia
2020,31,Alibaba Group,Retailing,China,70570,24698,189435,545380,Asia
2020,32,Gazprom,Oil & Gas Operations,Russia,122600,22734,331650,60825,Europe
2020,33,PetroChina,Oil & Gas Operations,China,364096,6639,392338,65868,Asia
2020,34,Johnson & Johnson,Drugs & Biotechnology,United States of America,82753,17166,155017,395294,NorthAmerica
2020,35,RBC,Banking,Canada,50850,9957,1116256,87711,NorthAmerica
2020,36,Walt Disney,Media,United States of America,74822,10373,200948,195258,NorthAmerica
2020,37,China Life Insurance,Insurance,China,103664,8487,536170,60304,Asia
2020,38,Intel,Semiconductors,United States of America,75732,22735,147710,253955,NorthAmerica
2020,39,Facebook,IT Software & Services,United States of America,73357,20958,138371,583675,NorthAmerica
2020,40,CVS Health,Retailing,United States of America,256756,6629,224294,80359,NorthAmerica
2020,41,Nestlé,"Food, Drink & Tobacco",Switzerland,93147,12688,132122,304074,Europe
2020,42,BNP Paribas,Banking,France,128027,8669,2429890,39215,Europe
2020,43,Nippon Telegraph & Tel,Telecommunications Services,Japan,109598,7883,211104,83049,Asia
2020,44,HSBC Holdings,Banking,United Kingdom,67221,3808,2917810,105318,Europe
2020,45,Bank of Communications,Banking,China,66610,11213,1422054,47131,Asia
2020,46,TD Bank Group,Banking,Canada,44783,9256,1101984,75791,NorthAmerica
2020,47,Goldman Sachs Group,Diversified Financials,United States of America,53901,7428,1090000,63403,NorthAmerica
2020,48,Morgan Stanley,Diversified Financials,United States of America,53000,8311,896823,62142,NorthAmerica
2020,49,Pfizer,Drugs & Biotechnology,United States of America,50660,15790,167489,212808,NorthAmerica
2020,50,Tencent Holdings,IT Software & Services,China,54554,13541,136955,509673,Asia
2020,51,IBM,IT Software & Services,United States of America,76537,9015,153403,111484,NorthAmerica
2020,52,Mitsubishi UFJ Financial,Banking,Japan,60111,5364,2893019,51802,Asia
2020,53,General Electric,Conglomerates,United States of America,99949,6303,262021,59480,NorthAmerica
2020,54,Rosneft,Oil & Gas Operations,Russia,126869,10942,208497,48105,Europe
2020,55,Santander,Banking,Spain,89159,7292,1709225,37067,Europe
2020,56,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,52315,9144,238279,89879,Europe
2020,57,Industrial Bank,Banking,China,50180,9161,1044976,48959,Asia
2020,58,Reliance Industries,Oil & Gas Operations,India,84787,6158,147164,123844,Asia
2020,59,Sony,Consumer Durables,Japan,79246,6031,208305,78728,Asia
2020,60,Sinopec,Oil & Gas Operations,China,369228,3308,254831,76570,Asia
2020,61,Chevron,Oil & Gas Operations,United States of America,140144,2924,237428,171762,NorthAmerica
2020,62,Siemens,Conglomerates,Germany,97431,5865,171006,75384,Europe
2020,63,Cigna,Drugs & Biotechnology,United States of America,154521,4917,157032,72814,NorthAmerica
2020,64,AXA Group,Insurance,France,149983,4033,850752,42333,Europe
2020,65,Shanghai Pudong Development,Banking,China,50001,8585,1029252,44244,Asia
2020,66,AIA Group,Insurance,Hong Kong,40851,6649,280299,111829,Asia
2020,67,Softbank,Telecommunications Services,Japan,87364,2919,362608,89742,Asia
2020,68,Novartis,Drugs & Biotechnology,Switzerland,48614,12214,123097,193047,Europe
2020,69,Deutsche Telekom,Telecommunications Services,Germany,90134,4327,207148,69223,Europe
2020,70,Petrobras,Oil & Gas Operations,Brazil,78937,10175,230196,43494,SouthAmerica
2020,71,Procter & Gamble,Consumer Durables,United States of America,70346,4986,118560,291804,NorthAmerica
2020,72,Japan Post Holdings,Insurance,Japan,112343,4671,2680203,32698,Asia
2020,73,LVMH Moët Hennessy Louis Vuitton,Consumer Durables,France,60070,8026,108329,194273,Europe
2020,74,Roche Holding,Drugs & Biotechnology,Switzerland,61851,13581,85807,297429,Europe
2020,75,BMW Group,Consumer Durables,Germany,116637,5501,271267,38931,Europe
2020,76,Zurich Insurance Group,Insurance,Switzerland,71770,4147,381936,47412,Europe
2020,77,CITIC,Trading Companies,Hong Kong,72302,6880,1063929,30282,Asia
2020,78,Itaú Unibanco Holding,Banking,Brazil,51970,6873,408756,40993,SouthAmerica
2020,79,China State Construction Engineering,Construction,China,202988,6061,292315,30654,Asia
2020,80,MetLife,Insurance,United States of America,68968,5899,746320,32801,NorthAmerica
2020,81,Sumitomo Mitsui Financial,Banking,Japan,48433,6418,1954814,36422,Asia
2020,82,Cisco Systems,Technology Hardware & Equipment,United States of America,51556,11054,90426,179728,NorthAmerica
2020,83,Honda Motor,Consumer Durables,Japan,142390,4332,188532,42646,Asia
2020,84,Commonwealth Bank,Banking,Australia,27284,7042,688798,72623,Oceanic
2020,85,Bank of Nova Scotia,Banking,Canada,34757,6446,872573,48715,NorthAmerica
2020,86,Raytheon Technologies,Aerospace & Defense,United States of America,77097,5537,139716,56136,NorthAmerica
2020,87,PepsiCo,"Food, Drink & Tobacco",United States of America,68159,7239,85062,183552,NorthAmerica
2020,88,American Express,Diversified Financials,United States of America,46787,5538,186060,73454,NorthAmerica
2020,89,General Motors,Consumer Durables,United States of America,137237,6732,228037,31926,NorthAmerica
2020,90,China Minsheng Bank,Banking,China,48543,7819,959249,32756,Asia
2020,91,British American Tobacco,"Food, Drink & Tobacco",United Kingdom,33012,7277,186796,88822,Europe
2020,92,Merck & Co.,Drugs & Biotechnology,United States of America,47862,10147,84397,200341,NorthAmerica
2020,93,BHP Group,Materials,Australia,45810,9426,102290,107099,Oceanic
2020,94,Oracle,IT Software & Services,United States of America,39764,10759,96704,167045,NorthAmerica
2020,95,Brookfield Asset Management,Diversified Financials,Canada,69109,2803,323969,51279,NorthAmerica
2020,96,Coca-Cola,"Food, Drink & Tobacco",United States of America,37155,10017,94013,197092,NorthAmerica
2020,97,Enel,Utilities,Italy,86592,2433,192426,69410,Europe
2020,98,GlaxoSmithKline,Drugs & Biotechnology,United Kingdom,44679,6832,104629,104350,Europe
2020,99,LukOil,Oil & Gas Operations,Russia,116328,9894,95748,41168,Europe
2020,100,China Vanke,Construction,China,53508,5599,245290,37614,Asia
2020,101,Banco Bradesco,Banking,Brazil,62043,5725,337867,31256,SouthAmerica
2020,102,Bayer,Drugs & Biotechnology,Germany,49895,4825,137676,64714,Europe
2020,103,US Bancorp,Banking,United States of America,25891,6364,542909,55526,NorthAmerica
2020,104,Mitsubishi,Trading Companies,Japan,140766,4787,167017,32363,Asia
2020,105,Anthem,Drugs & Biotechnology,United States of America,109262,4779,82399,70777,NorthAmerica
2020,106,Home Depot,Retailing,United States of America,110225,11242,51236,236124,NorthAmerica
2020,107,BASF,Chemicals,Germany,66541,8777,101337,46966,Europe
2020,108,Taiwan Semiconductor,Semiconductors,Taiwan,37801,13042,77486,265526,Asia
