Year,Rank,Company,Industry,Country,Sales,Profits,Assets,Market Value,Region
2012,1705,China Longyuan Power,Utilities,China,2156,306,11295,6539,Asia
2012,1706,Varian Medical Systems,Health Care Equipment & Services,United States of America,2642,393,2581,7974,NorthAmerica
2012,1707,Banpu,Diversified Metals & Mining,Thailand,3561,636,7132,5413,Asia
2012,1708,Dillard's,Retailing,United States of America,6400,464,4306,3419,NorthAmerica
2012,1709,Musashino Bank,Banking,Japan,959,90,44379,1179,Asia
2012,1710,IKB Deutsche,Banking,Germany,2980,73,44342,367,Europe
2012,1711,Marfin Popular Bank ,Banking,Cyprus,1344,-4320,44237,601,Asia
2012,1712,Aboitiz Equity Ventures ,Diversified Financials,Philippines,1708,501,3988,6447,Asia
2012,1712,People's United Financial,Banking,United States of America,1360,199,27568,4777,NorthAmerica
2012,1714,CP All,Food Markets,Thailand,4922,254,1754,9505,Asia
2012,1715,Frontier Communications,Telecommunications Services,United States of America,5243,150,17461,4309,NorthAmerica
2012,1715,Heritage Oil,Oil & Gas Operations,Channel Islands,5,1237,1317,683,Europe
2012,1717,Tokyu Land,Real Estate,Japan,6874,140,13845,2695,Asia
2012,1718,Erdemir,Diversified Metals & Mining,Turkey,4732,534,7033,4756,Asia
2012,1719,Hokuriku Electric Power,Utilities,Japan,5945,230,16169,3954,Asia
2012,1720,Keiyo Bank,Banking,Japan,911,139,42895,1368,Asia
2012,1721,Hanwa,Diversified Metals & Mining,Japan,16795,70,6427,943,Asia
2012,1721,Toll Holdings,Transportation,Australia,8815,302,6140,4448,Oceanic
2012,1723,Sacyr Vallehermoso,Construction,Spain,5116,-2078,20641,1421,Europe
2012,1724,Bank of Queensland,Banking,Australia,3045,170,42687,1718,Oceanic
2012,1724,Boardwalk Real Estate ,Real Estate,Canada,415,1203,4998,2913,NorthAmerica
2012,1724,Daelim Industrial,Construction,South Korea,6894,316,9317,3647,Asia
2012,1724,Metcash,Food Markets,Australia,13557,265,4151,3339,Oceanic
2012,1724,Saudi Arabian Mining ,Diversified Metals & Mining,Saudi Arabia,404,110,11619,8558,Asia
2012,1729,China Hongqiao Group,Diversified Metals & Mining,China,3754,934,4707,4352,Asia
2012,1730,Kagoshima Bank,Banking,Japan,953,86,42134,1352,Asia
2012,1731,Scripps Networks,Media,United States of America,2072,412,3962,7442,NorthAmerica
2012,1732,SinoPac Financial Holdings,Diversified Financials,Taiwan,1115,175,42062,2709,Asia
2012,1733,Alexion Pharmaceuticals,Drugs & Biotechnology,United States of America,783,175,1395,16555,NorthAmerica
2012,1734,Taiwan Business Bank,Banking,Taiwan,807,69,41565,1535,Asia
2012,1735,Newfield Exploration,Oil & Gas Operations,United States of America,2471,539,8991,4890,NorthAmerica
2012,1735,Ametek,Capital Goods,United States of America,2990,385,4319,7808,NorthAmerica
2012,1737,Basler Kantonalbank,Banking,Switzerland,1060,206,41291,3837,Europe
2012,1737,Corn Products International,"Food, Drink & Tobacco",United States of America,6219,416,5317,4266,NorthAmerica
2012,1737,Crescent Point Energy,Oil & Gas Operations,Canada,1714,198,8578,12948,NorthAmerica
2012,1740,ATEbank,Banking,Greece,1630,-586,41291,584,Europe
2012,1740,Jaiprakash Associates,Construction,India,2528,403,15252,3326,Asia
2012,1743,Credito Emiliano,Banking,Italy,1904,135,41088,1748,Europe
2012,1744,Indian Overseas Bank,Banking,India,3003,241,40091,1212,Asia
2012,1744,US Airways Group,Airline,United States of America,13055,72,8335,1159,NorthAmerica
2012,1744,Suruga Bank,Banking,Japan,1235,31,40600,2543,Asia
2012,1744,Transurban Group,Transportation,Australia,857,121,11124,8834,Oceanic
2012,1748,Bolsas & Mercados,Diversified Financials,Spain,409,201,40599,2177,Europe
2012,1749,Weir Group,Capital Goods,United Kingdom,3559,458,4358,6700,Europe
2012,1750,Swedish Match,"Food, Drink & Tobacco",Sweden,1691,368,2116,8102,Europe
2012,1751,Hugo Boss ,Consumer Durables,Germany,2867,396,1878,7468,Europe
2012,1752,Great Wall Technology,Consumer Durables,China,15920,99,6382,330,Asia
2012,1752,Inner Mongolia Yili ,"Food, Drink & Tobacco",China,5950,288,3154,6088,Asia
2012,1752,InterContinental Hotels,"Hotels, Restaurants & Leisure",United Kingdom,1706,444,2864,6799,Europe
2012,1752,Sino-Ocean Land Holdings,Real Estate,China,3079,398,14974,3022,Asia
2012,1756,Barwa Real Estate,Real Estate,Qatar,805,344,18073,3067,Asia
2012,1756,Hokkoku Bank,Banking,Japan,841,89,39623,1277,Asia
2012,1758,BOK Financial,Banking,United States of America,1384,286,25494,3935,NorthAmerica
2012,1758,Eldorado Gold,Diversified Metals & Mining,Canada,1099,319,3960,9589,NorthAmerica
2012,1760,Home Retail Group,Retailing,United Kingdom,9515,310,6666,1478,Europe
2012,1761,Taisho Pharmaceutical ,Drugs & Biotechnology,Japan,3231,420,7438,6946,Asia
2012,1762,Raymond James Financial,Diversified Financials,United States of America,3368,264,17892,5057,NorthAmerica
2012,1763,Toho Bank,Banking,Japan,733,55,39180,880,Asia
2012,1764,Saudi Kayan Petrochemical,Chemicals,Saudi Arabia,641,-67,12450,7539,Asia
