Year,Rank,Company,Industry,Country,Sales,Profits,Assets,Market Value,Region
2011,1,JPMorgan Chase,Banking,United States of America,115475,17370,2117600,182206,NorthAmerica
2011,2,HSBC Holdings,Banking,United Kingdom,103251,13303,2467940,186472,Europe
2011,3,General Electric,Conglomerates,United States of America,150211,11644,751216,216192,NorthAmerica
2011,4,ExxonMobil,Oil & Gas Operations,United States of America,341578,30460,302510,407200,NorthAmerica
2011,5,Royal Dutch Shell,Oil & Gas Operations,Netherlands,369056,20127,317199,212940,Europe
2011,6,PetroChina,Oil & Gas Operations,China,222333,21240,251332,320811,Asia
2011,7,ICBC,Banking,China,69193,18844,1723500,239490,Asia
2011,8,Berkshire Hathaway,Diversified Financials,United States of America,136185,12967,372229,210975,NorthAmerica
2011,8,Petrobras-Petróleo Brasil,Oil & Gas Operations,Brazil,121323,21198,313235,238788,SouthAmerica
2011,10,Citigroup,Banking,United States of America,111465,10602,1913900,132786,NorthAmerica
2011,11,BNP Paribas,Banking,France,130388,10522,2680652,88037,Europe
2011,11,Wells Fargo,Banking,United States of America,93249,12362,1258130,170580,NorthAmerica
2011,13,Banco Santander,Banking,Spain,109669,12830,1570624,94735,Europe
2011,14,AT&T,Telecommunications Services,United States of America,124280,19864,268488,168239,NorthAmerica
2011,15,Gazprom,Oil & Gas Operations,Russia,98672,25719,275891,172916,Europe
2011,16,Chevron,Oil & Gas Operations,United States of America,189607,19024,184769,200604,NorthAmerica
2011,17,China Construction Bank,Banking,China,58246,15638,1408020,224794,Asia
2011,18,Wal-Mart Stores,Retailing,United States of America,421849,16389,180663,187325,NorthAmerica
2011,19,Total,Oil & Gas Operations,France,188054,14151,192805,138025,Europe
2011,20,Allianz,Insurance,Germany,142875,6662,838402,62704,Europe
2011,21,Bank of China,Banking,China,49385,11875,1277780,143001,Asia
2011,22,ConocoPhillips,Oil & Gas Operations,United States of America,175752,11358,156314,109082,NorthAmerica
2011,22,Sinopec-China Petroleum,Oil & Gas Operations,China,284802,10896,148662,107675,Asia
2011,24,Volkswagen Group,Consumer Durables,Germany,168314,9067,267498,70348,Europe
2011,25,Agricultural Bank of China,Banking,China,49391,9520,1298220,134025,Asia
2011,26,Nestlé,"Food, Drink & Tobacco",Switzerland,112005,36652,117723,181115,Europe
2011,27,Vodafone,Telecommunications Services,United Kingdom,67484,13118,236564,148214,Europe
2011,28,ENI,Oil & Gas Operations,Italy,130486,8382,176144,96784,Europe
2011,29,American Intl Group,Insurance,United States of America,77301,7786,683443,67062,NorthAmerica
2011,29,GDF Suez,Utilities,France,113090,6179,245488,85203,Europe
2011,31,IBM,IT Software & Services,United States of America,99871,14833,113450,198089,NorthAmerica
2011,31,Telefónica,Telecommunications Services,Spain,81308,13611,166462,113256,Europe
2011,33,Samsung Electronics,Semiconductors,South Korea,133789,13670,119309,112934,Asia
2011,34,China Mobile,Telecommunications Services,Hong Kong,71751,17691,129287,192069,Asia
2011,35,Procter & Gamble,Consumer Durables,United States of America,79573,11184,134273,172220,NorthAmerica
2011,36,Pfizer,Drugs & Biotechnology,United States of America,67809,8257,195014,155667,NorthAmerica
2011,37,Goldman Sachs Group,Diversified Financials,United States of America,45967,8354,911332,89961,NorthAmerica
2011,38,E.ON,Utilities,Germany,124581,7852,205099,63995,Europe
2011,39,ING Group,Insurance,Netherlands,149194,4318,1665294,46752,Europe
2011,40,UBS,Diversified Financials,Switzerland,49772,7667,1402970,70821,Europe
2011,41,Barclays,Banking,United Kingdom,63867,5560,2328320,58290,Europe
2011,42,Hewlett-Packard,Technology Hardware & Equipment,United States of America,127158,9116,119933,90301,NorthAmerica
2011,43,Daimler,Consumer Durables,Germany,130872,6021,178717,70504,Europe
2011,44,Société Générale,Banking,France,85439,5255,1518744,46915,Europe
2011,45,Siemens,Conglomerates,Germany,103512,5312,135001,110200,Europe
2011,46,Banco Bradesco,Banking,Brazil,70148,6037,373517,63283,SouthAmerica
2011,47,Apple,Technology Hardware & Equipment,United States of America,76283,16639,86742,324281,NorthAmerica
2011,48,AXA Group,Insurance,France,162369,3688,981846,46394,Europe
2011,48,Nippon Telegraph & Tel,Telecommunications Services,Japan,108941,5267,193815,70348,Asia
2011,50,Microsoft,IT Software & Services,United States of America,66690,20568,92306,215773,NorthAmerica
2011,51,Banco do Brasil,Banking,Brazil,68860,7050,488658,48486,SouthAmerica
2011,52,Mitsubishi UFJ Financial,Banking,Japan,51043,4160,2177440,74497,Asia
2011,53,Vale,Diversified Metals & Mining,Brazil,50136,18115,127845,162498,SouthAmerica
2011,54,Ford Motor,Consumer Durables,United States of America,128954,6561,164687,54320,NorthAmerica
2011,55,ENEL,Utilities,Italy,96515,5889,217378,54007,Europe
2011,55,Toyota Motor,Consumer Durables,Japan,202775,2241,323487,137786,Asia
2011,57,Johnson & Johnson,Health Care Equipment & Services,United States of America,61587,13334,102908,163265,NorthAmerica
2011,58,Rio Tinto,Diversified Metals & Mining,United Kingdom,56576,14324,112402,131638,Europe
2011,59,Credit Suisse Group,Diversified Financials,Switzerland,53892,5173,1097080,50657,Europe
2011,60,Statoil,Oil & Gas Operations,Norway,90438,6539,110302,83788,Europe
2011,61,General Motors,Consumer Durables,United States of America,135592,6172,138898,49834,NorthAmerica
2011,62,Deutsche Bank,Banking,Germany,61223,3099,2556520,59594,Europe
2011,62,Novartis,Drugs & Biotechnology,Switzerland,50624,9794,123318,125218,Europe
2011,64,Verizon Communications,Telecommunications Services,United States of America,106565,2549,220005,101349,NorthAmerica
2011,65,Westpac Banking Group,Banking,Australia,37846,6137,596429,69288,Oceanic
2011,66,BBVA-Banco Bilbao Vizcaya,Banking,Spain,43372,6260,734099,52269,Europe
2011,67,BHP Billiton,Diversified Metals & Mining,Australia,52798,12722,84799,231481,Oceanic
2011,68,China Life Insurance,Insurance,China,48219,4816,179619,96636,Asia
2011,68,Royal Bank of Canada,Banking,Canada,31762,5564,720930,87194,NorthAmerica
2011,70,Commonwealth Bank,Banking,Australia,34309,4760,544850,79224,Oceanic
2011,71,Lukoil,Oil & Gas Operations,Russia,86078,9006,84017,59184,Europe
2011,72,BMW Group,Consumer Durables,Germany,80230,4290,146052,51009,Europe
2011,73,BASF,Chemicals,Germany,85506,6100,78187,74221,Europe
2011,74,France Telecom,Telecommunications Services,France,60914,6533,120541,56711,Europe
2011,74,UniCredit Group,Banking,Italy,68754,2439,1317960,47271,Europe
2011,76,Intesa Sanpaolo,Banking,Italy,49945,4019,888965,41181,Europe
2011,77,National Australia Bank,Banking,Australia,36912,4085,662211,53985,Oceanic
2011,77,Rosneft,Oil & Gas Operations,Russia,46135,10362,93870,84960,Europe
2011,79,Zurich Financial Services,Insurance,Switzerland,67850,3434,375661,39900,Europe
2011,80,Honda Motor,Consumer Durables,Japan,91797,2872,122225,73248,Asia
2011,81,Morgan Stanley,Diversified Financials,United States of America,38036,4684,807698,43803,NorthAmerica
2011,81,Sanofi-aventis,Drugs & Biotechnology,France,40675,7319,110293,89196,Europe
2011,83,MetLife,Insurance,United States of America,52718,2790,730906,48379,NorthAmerica
2011,84,TD Bank Financial Group,Banking,Canada,25807,4887,616214,75453,NorthAmerica
2011,85,ANZ Banking,Banking,Australia,32228,4353,514089,60498,Oceanic
2011,86,PepsiCo,"Food, Drink & Tobacco",United States of America,57838,6320,68153,102567,NorthAmerica
2011,87,Cisco Systems,Technology Hardware & Equipment,United States of America,42361,7578,81981,99228,NorthAmerica
2011,88,América Móvil,Telecommunications Services,Mexico,49188,7349,69704,110080,NorthAmerica
2011,89,Roche Holding,Drugs & Biotechnology,Switzerland,50827,9278,62925,120926,Europe
2011,90,ArcelorMittal,Diversified Metals & Mining,Luxembourg,78025,2916,130904,53583,Europe
2011,91,Coca-Cola,"Food, Drink & Tobacco",United States of America,35119,11809,72921,148695,NorthAmerica
2011,92,Deutsche Telekom,Telecommunications Services,Germany,83562,2269,164585,60735,Europe
2011,93,Intel,Semiconductors,United States of America,43623,11464,63186,114535,NorthAmerica
2011,94,Generali Group,Insurance,Italy,118000,2258,564633,33440,Europe
2011,95,Saudi Basic Industries,Chemicals,Saudi Arabia,40526,5741,84288,81196,Asia
2011,96,Anheuser-Busch,"Food, Drink & Tobacco",Belgium,36810,4083,113841,90552,Europe
2011,96,Sumitomo Mitsui Financial,Banking,Japan,33132,2906,1310260,49038,Asia
2011,98,Bank of Nova Scotia,Banking,Canada,24238,4424,541133,63610,NorthAmerica
2011,99,Crédit Agricole,Banking,France,88937,1694,2130796,38605,Europe
2011,100,EDF Group,Utilities,France,87236,1366,319871,78233,Europe
2011,101,Repsol YPF,Oil & Gas Operations,Spain,62167,6226,90396,39638,Europe
2011,101,RWE Group,Utilities,Germany,67901,4428,121660,35389,Europe
2011,103,Unilever,"Food, Drink & Tobacco",Netherlands,59253,5689,54830,91926,Europe
2011,104,Comcast,Media,United States of America,37937,3635,118534,68653,NorthAmerica
2011,105,Kraft Foods,"Food, Drink & Tobacco",United States of America,49207,4114,95289,55441,NorthAmerica
2011,106,UnitedHealth Group,Health Care Equipment & Services,United States of America,94155,4634,63063,47674,NorthAmerica
2011,107,Oracle,IT Software & Services,United States of America,31993,6775,67243,161223,NorthAmerica
2011,108,Tesco,Food Markets,United Kingdom,79621,3542,70061,50481,Europe
2011,109,Munich Re,Insurance,Germany,60910,3253,306181,28257,Europe
2011,110,Walt Disney,Media,United States of America,39040,4421,70950,81527,NorthAmerica
2011,111,Standard Chartered Group,Banking,United Kingdom,21410,4332,516542,59830,Europe
2011,112,United Technologies,Conglomerates,United States of America,54326,4373,58493,74815,NorthAmerica
2011,113,Iberdrola,Utilities,Spain,40738,3843,121026,45013,Europe
2011,114,American Express,Diversified Financials,United States of America,30242,4057,147042,53243,NorthAmerica
2011,115,Mizuho Financial,Banking,Japan,29729,2562,1666530,42729,Asia
2011,116,Prudential Financial,Insurance,United States of America,38414,3195,539854,30667,NorthAmerica
2011,117,Prudential,Insurance,United Kingdom,75598,2241,408339,29393,Europe
2011,118,Boeing,Aerospace & Defense,United States of America,64306,3307,68565,52748,NorthAmerica
2011,119,CVS Caremark,Retailing,United States of America,96413,3427,62169,46518,NorthAmerica
2011,120,Google,IT Software & Services,United States of America,29321,8505,57851,185837,NorthAmerica
2011,121,Reliance Industries,Oil & Gas Operations,India,45328,5467,57789,71723,Asia
2011,122,Itaúsa,Conglomerates,Brazil,66361,2255,342630,30598,SouthAmerica
2011,123,Mitsubishi Corp,Trading Companies,Japan,48594,2923,116208,44801,Asia
2011,124,Bank of Communications,Banking,China,19564,4412,483861,52280,Asia
2011,125,Møller-Maersk,Transportation,Denmark,56604,4748,66534,40457,Europe
2011,126,Nordea Bank,Banking,Sweden,20328,3747,776285,43730,Europe
2011,127,Abbott Laboratories,Health Care Equipment & Services,United States of America,35167,4626,59462,74996,NorthAmerica
2011,128,Suncor Energy,Oil & Gas Operations,Canada,34570,3594,70617,67997,NorthAmerica
2011,129,AstraZeneca,Drugs & Biotechnology,United Kingdom,33642,8143,54848,65553,Europe
2011,130,Xstrata,Diversified Metals & Mining,Switzerland,30499,4688,69709,64095,Europe
