Year,Rank,Company,Industry,Country,Sales,Profits,Assets,Market Value,Region
2016,1,ICBC,Banking,China,171077,44160,3420257,198042,Asia
2016,2,China Construction Bank,Banking,China,146816,36393,2825983,162774,Asia
2016,3,Agricultural Bank of China,Banking,China,131888,28809,2739835,152736,Asia
2016,4,Berkshire Hathaway,Diversified Financials,United States of America,210821,24083,561068,360145,NorthAmerica
2016,5,JPMorgan Chase,Banking,United States of America,99881,23548,2423808,234247,NorthAmerica
2016,6,Bank of China,Banking,China,122027,27210,2589605,143002,Asia
2016,7,Wells Fargo,Banking,United States of America,91431,22686,1849182,255998,NorthAmerica
2016,8,Apple,Technology Hardware & Equipment,United States of America,233273,53731,293284,585951,NorthAmerica
2016,9,ExxonMobil,Oil & Gas Operations,United States of America,236810,16150,336758,363270,NorthAmerica
2016,10,Toyota Motor,Consumer Durables,Japan,235832,19267,406692,176960,Asia
2016,11,Bank of America,Banking,United States of America,91496,15844,2185498,156021,NorthAmerica
2016,12,AT&T,Telecommunications Services,United States of America,146801,13244,402672,234177,NorthAmerica
2016,13,Citigroup,Banking,United States of America,85945,15771,1800967,138149,NorthAmerica
2016,14,HSBC Holdings,Banking,United Kingdom,70267,13479,2409656,132956,Europe
2016,15,Verizon Communications,Telecommunications Services,United States of America,131807,17970,244587,206244,NorthAmerica
2016,16,Wal-Mart Stores,Retailing,United States of America,482130,14694,199581,215696,NorthAmerica
2016,17,PetroChina,Oil & Gas Operations,China,274608,5704,368685,203848,Asia
2016,18,China Mobile,Telecommunications Services,China,107758,17125,219893,240997,Asia
2016,19,Samsung Electronics,Semiconductors,South Korea,177286,16518,206541,161550,Asia
2016,20,Ping An Insurance Group,Insurance,China,98688,8658,732277,89974,Asia
2016,21,Allianz,Insurance,Germany,115424,7338,926157,79725,Europe
2016,22,Volkswagen Group,Consumer Durables,Germany,246232,7060,414588,73073,Europe
2016,23,Microsoft,IT Software & Services,United States of America,86596,10179,181869,407015,NorthAmerica
2016,24,BNP Paribas,Banking,France,74910,7423,2166292,66847,Europe
2016,25,Daimler,Consumer Durables,Germany,165747,9342,235907,75406,Europe
2016,26,AXA Group,Insurance,France,129808,5891,965384,61857,Europe
2016,27,Alphabet,IT Software & Services,United States of America,77231,17040,149747,500077,NorthAmerica
2016,28,Chevron,Oil & Gas Operations,United States of America,129866,4587,266103,192258,NorthAmerica
2016,29,Japan Post Holdings,Insurance,Japan,129795,4394,2450733,62570,Asia
2016,30,Total,Oil & Gas Operations,France,143359,5034,224484,121917,Europe
2016,31,Sinopec,Oil & Gas Operations,China,283613,5124,223661,89941,Asia
2016,32,Johnson & Johnson,Health Care Equipment & Services,United States of America,70236,15381,133411,312575,NorthAmerica
2016,33,Nestle,"Food, Drink & Tobacco",Switzerland,92208,9416,123868,235701,Europe
2016,34,Mitsubishi UFJ Financial,Banking,Japan,44244,7922,2458766,73516,Asia
2016,35,Comcast,Media,United States of America,74510,8163,166574,148187,NorthAmerica
2016,36,Bank of Communications,Banking,China,56985,10602,1101910,55652,Asia
2016,37,Banco Santander,Banking,Spain,49786,6622,1455924,72526,Europe
2016,38,China Merchants Bank,Banking,China,48189,9203,843134,66759,Asia
2016,39,Procter & Gamble,Consumer Durables,United States of America,69374,8446,129143,218935,NorthAmerica
2016,40,Ford Motor,Consumer Durables,United States of America,149558,7373,224925,54196,NorthAmerica
2016,41,IBM,IT Software & Services,United States of America,80836,12883,118856,142691,NorthAmerica
2016,42,UnitedHealth Group,Health Care Equipment & Services,United States of America,165885,6011,117855,127514,NorthAmerica
2016,43,General Motors,Consumer Durables,United States of America,152356,9687,194520,49552,NorthAmerica
2016,44,Nippon Telegraph & Tel,Telecommunications Services,Japan,94232,5552,172488,94540,Asia
2016,45,BMW Group,Consumer Durables,Germany,102215,7063,197883,60382,Europe
2016,46,Pfizer,Drugs & Biotechnology,United States of America,48851,7743,167460,205746,NorthAmerica
2016,47,Novartis,Drugs & Biotechnology,Switzerland,49428,17645,131905,203776,Europe
2016,48,MetLife,Insurance,United States of America,68017,5268,884178,51434,NorthAmerica
2016,49,China Life Insurance,Insurance,China,81487,5573,377035,55652,Asia
2016,50,Royal Dutch Shell,Oil & Gas Operations,Netherlands,264871,2075,340157,209987,Europe
2016,51,Siemens,Conglomerates,Germany,85511,6464,133926,91812,Europe
2016,52,Royal Bank of Canada,Banking,Canada,33090,7651,852977,90722,NorthAmerica
2016,53,Gazprom,Oil & Gas Operations,Russia,102051,4877,250240,57146,Europe
2016,54,UBS,Banking,Switzerland,39930,6441,941877,63689,Europe
2016,55,ING Group,Banking,Netherlands,55674,5464,914414,49891,Europe
2016,56,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,43604,8267,136532,204589,Europe
2016,57,Shanghai Pudong Development,Banking,China,41393,8051,776819,55209,Asia
2016,58,Commonwealth Bank,Banking,Australia,33133,6863,657032,99171,Oceanic
2016,59,Industrial Bank ,Banking,China,45031,8043,832046,47330,Asia
2016,60,Intel,Semiconductors,United States of America,56276,11474,105467,149259,NorthAmerica
2016,61,Citic Pacific,Diversified Metals & Mining,Hong Kong,53764,5393,877829,45380,Asia
2016,62,CVS Health,Retailing,United States of America,153290,5202,93657,110802,NorthAmerica
2016,63,Cisco Systems,Technology Hardware & Equipment,United States of America,49589,10333,112642,141654,NorthAmerica
2016,64,Itaú Unibanco Holding,Banking,Brazil,50919,7706,324076,50476,SouthAmerica
2016,65,China Minsheng Banking,Banking,China,42359,7355,696517,49268,Asia
2016,66,Prudential,Insurance,United Kingdom,63106,3940,558729,53392,Europe
2016,67,TD Bank Group,Banking,Canada,29815,6228,833956,81818,NorthAmerica
2016,68,General Electric,Conglomerates,United States of America,122364,1678,492692,285611,NorthAmerica
2016,69,Softbank,Telecommunications Services,Japan,74747,4278,178708,67137,Asia
2016,70,Sumitomo Mitsui Financial,Banking,Japan,39618,5763,1558335,48165,Asia
2016,71,Walt Disney,Media,United States of America,53902,9080,90121,169308,NorthAmerica
2016,72,Westpac Banking Group,Banking,Australia,30193,6268,570984,80587,Oceanic
2016,73,Deutsche Telekom,Telecommunications Services,Germany,76768,3608,156340,81762,Europe
2016,74,Honda Motor,Consumer Durables,Japan,118094,4426,154522,51090,Asia
2016,75,Rosneft,Oil & Gas Operations,Russia,80751,5791,139550,51119,Europe
2016,76,Boeing,Aerospace & Defense,United States of America,96114,5172,94408,85321,NorthAmerica
2016,77,Goldman Sachs Group,Diversified Financials,United States of America,32792,4374,861395,72964,NorthAmerica
2016,78,Banco Bradesco,Banking,Brazil,65869,5146,257544,41505,SouthAmerica
2016,79,China Citic Bank,Banking,China,41187,6560,788840,40424,Asia
2016,80,Roche Holding,Drugs & Biotechnology,Switzerland,50001,9205,75687,222178,Europe
2016,81,Prudential Financial,Insurance,United States of America,53223,5587,757388,35356,NorthAmerica
2016,82,Oracle,IT Software & Services,United States of America,37159,8844,104894,168899,NorthAmerica
2016,83,Coca-Cola,"Food, Drink & Tobacco",United States of America,43488,7277,91263,192803,NorthAmerica
2016,84,ANZ,Banking,Australia,31099,5867,625801,54888,Oceanic
2016,85,Nissan Motor,Consumer Durables,Japan,101018,4721,147363,42914,Asia
2016,86,Morgan Stanley,Diversified Financials,United States of America,32130,4865,807715,53683,NorthAmerica
2016,87,American International Group,Insurance,United States of America,58330,2179,496943,63709,NorthAmerica
2016,88,National Australia Bank,Banking,Australia,28785,4962,671612,56482,Oceanic
2016,89,Sanofi ,Drugs & Biotechnology,France,40473,4754,111151,115374,Europe
2016,90,PepsiCo,"Food, Drink & Tobacco",United States of America,62698,5162,70019,147302,NorthAmerica
2016,91,Bank of Nova Scotia,Banking,Canada,24395,5472,653482,61737,NorthAmerica
2016,92,Intesa Sanpaolo,Banking,Italy,39064,3143,734878,46409,Europe
2016,93,Merck,Drugs & Biotechnology,United States of America,38969,4442,101779,157153,NorthAmerica
2016,94,BASF,Chemicals,Germany,78122,4421,80070,73229,Europe
2016,95,American Express,Diversified Financials,United States of America,34594,5026,159000,63184,NorthAmerica
2016,96,United Technologies,Conglomerates,United States of America,59126,4044,87484,88442,NorthAmerica
2016,97,Bayer ,Chemicals,Germany,51634,4510,84637,102527,Europe
2016,98,Korea Electric Power,Utilities,South Korea,52092,11742,149467,33064,Asia
2016,99,US Bancorp,Banking,United States of America,21120,5816,428638,74996,NorthAmerica
2016,100,GlaxoSmithKline,Drugs & Biotechnology,United Kingdom,36550,12867,78774,104243,Europe
2016,101,Munich Re,Insurance,Germany,63517,3447,295683,34142,Europe
2016,102,EADS,Aerospace & Defense,France,71470,2990,122359,50877,Europe
2016,103,Sberbank,Banking,Russia,42563,3636,374268,39195,Europe
2016,104,Enel,Utilities,Italy,76917,2438,179005,44569,Europe
2016,105,Telefónica,Telecommunications Services,Spain,52362,3044,133587,55197,Europe
2016,106,Mizuho Financial,Banking,Japan,25953,5024,1625482,40691,Asia
2016,107,Walgreens Boots Alliance,Retailing,United States of America,116534,3368,66385,86571,NorthAmerica
2016,108,Hyundai Motor,Consumer Durables,South Korea,81250,5670,141033,28938,Asia
2016,109,Unilever,Consumer Durables,Netherlands,59074,5444,56811,137213,Europe
2016,110,Credit Agricole,Banking,France,38176,3899,1661272,29904,Europe
2016,111,Dow Chemical,Chemicals,United States of America,48770,7634,68026,59019,NorthAmerica
2016,112,Home Depot,Retailing,United States of America,88519,7009,42549,169777,NorthAmerica
2016,113,Saudi Basic Industries,Chemicals,Saudi Arabia,39766,5008,87434,63468,Asia
2016,114,China State Construction Engineering,Construction,China,135020,4147,165607,25551,Asia
2016,115,BBVA-Banco Bilbao Vizcaya,Banking,Spain,25819,2930,814810,46875,Europe
2016,116,Société Générale,Banking,France,28432,4437,1449559,32464,Europe
2016,117,Hon Hai Precision ,Consumer Durables,Taiwan,141152,4625,70274,39202,Asia
2016,118,Gilead Sciences,Drugs & Biotechnology,United States of America,32170,18108,51839,138078,NorthAmerica
2016,119,Swiss Re ,Insurance,Switzerland,35658,4595,189557,35449,Europe
2016,120,SAIC Motor,Consumer Durables,China,101922,4617,78790,34437,Asia
2016,121,Reliance Industries,Oil & Gas Operations,India,42239,4220,91542,50589,Asia
2016,122,LukOil,Oil & Gas Operations,Russia,90441,4803,69620,36810,Europe
2016,123,Capital One Financial,Diversified Financials,United States of America,25015,4030,334048,39221,NorthAmerica
2016,124,China Telecom,Telecommunications Services,China,52707,3197,96951,41006,Asia
2016,125,Generali Group,Insurance,Italy,97107,2253,539299,24093,Europe
