Year,Rank,Company,Industry,Country,Sales,Profits,Assets,Market Value,Region
2021,1,ICBC,Banking,China,190467,45769,4914670,249532,Asia
2021,2,JPMorgan Chase,Diversified Financials,United States of America,136187,40371,3689336,464822,NorthAmerica
2021,3,Berkshire Hathaway,Diversified Financials,United States of America,245510,42521,873729,624408,NorthAmerica
2021,4,China Construction Bank,Banking,China,173478,39299,4301700,210435,Asia
2021,5,Saudi Arabian Oil Company (Saudi Aramco),Oil & Gas Operations,Saudi Arabia,229747,49283,510252,1897165,Asia
2021,6,Apple,Technology Hardware & Equipment,United States of America,293971,63930,354054,2252292,NorthAmerica
2021,7,Bank of America,Banking,United States of America,98841,17894,2832182,336288,NorthAmerica
2021,8,Ping An Insurance Group,Insurance,China,169127,20755,1453814,211166,Asia
2021,9,Agricultural Bank of China,Banking,China,153920,31300,4159920,140084,Asia
2021,10,Amazon,Retailing,United States of America,386064,21331,321195,1711839,NorthAmerica
2021,11,Samsung Electronics,Technology Hardware & Equipment,South Korea,200703,22113,348187,510507,Asia
2021,12,Toyota Motor,Consumer Durables,Japan,249370,14342,561870,219175,Asia
2021,13,Alphabet,IT Software & Services,United States of America,182350,40269,319616,1538884,NorthAmerica
2021,14,Bank of China,Banking,China,134016,27946,3731408,116688,Asia
2021,15,Microsoft,IT Software & Services,United States of America,153284,51310,304137,1966559,NorthAmerica
2021,16,Citigroup,Diversified Financials,United States of America,84370,17068,2314266,151181,NorthAmerica
2021,17,Volkswagen Group,Consumer Durables,Germany,254081,9501,646384,147159,Europe
2021,18,Walmart,Retailing,United States of America,559151,13510,252496,396108,NorthAmerica
2021,19,Wells Fargo,Banking,United States of America,85902,7390,1959543,181546,NorthAmerica
2021,20,Verizon Communications,Telecommunications Services,United States of America,128292,17801,316481,241279,NorthAmerica
2021,21,UnitedHealth Group,Insurance,United States of America,262916,16883,205171,369629,NorthAmerica
2021,22,China Merchants Bank,Banking,China,60414,14092,1278548,192801,Asia
2021,23,Alibaba Group,Retailing,China,93828,23298,250056,657522,Asia
2021,24,Allianz,Insurance,Germany,129859,7760,1357537,107977,Europe
2021,25,Comcast,Media,United States of America,103564,10534,273869,252440,NorthAmerica
2021,26,Goldman Sachs Group,Diversified Financials,United States of America,61843,15082,1302000,116459,NorthAmerica
2021,27,Softbank,Telecommunications Services,Japan,70291,14935,366689,163120,Asia
2021,28,Postal Savings Bank Of China (PSBC),Banking,China,67249,9281,1736173,112358,Asia
2021,29,Tencent Holdings,IT Software & Services,China,69990,23327,203894,773802,Asia
2021,30,BNP Paribas,Banking,France,102681,7554,3044793,79094,Europe
2021,31,Morgan Stanley,Diversified Financials,United States of America,56690,13418,1158772,123918,NorthAmerica
2021,32,China Mobile,Telecommunications Services,Hong Kong,111262,15617,264210,134923,Asia
2021,33,Facebook,IT Software & Services,United States of America,85966,29145,159316,870476,NorthAmerica
2021,34,Johnson & Johnson,Drugs & Biotechnology,United States of America,82572,14714,174894,427131,NorthAmerica
2021,35,Sony,Consumer Durables,Japan,79871,10091,250677,137257,Asia
2021,36,Intel,Semiconductors,United States of America,77867,20899,153091,263685,NorthAmerica
2021,37,CVS Health,Retailing,United States of America,268654,7179,238489,99594,NorthAmerica
2021,38,RBC,Banking,Canada,42870,8794,1308193,135040,NorthAmerica
2021,39,Nestlé,"Food, Drink & Tobacco",Switzerland,89859,13032,140311,333156,Europe
2021,40,HSBC Holdings,Banking,United Kingdom,60626,3975,2984164,120323,Europe
2021,41,Daimler,Consumer Durables,Germany,175908,4135,349614,99184,Europe
2021,42,TD Bank Group,Banking,Canada,38796,9100,1358640,120591,NorthAmerica
