Year,Rank,Company,Industry,Country,Sales,Profits,Assets,Market Value,Region
2017,1,ICBC,Banking,China,151381,41984,3473238,229805,Asia
2017,2,China Construction Bank,Banking,China,134242,34981,3016578,200458,Asia
2017,3,Berkshire Hathaway,Diversified Financials,United States of America,222935,24074,620854,409908,NorthAmerica
2017,4,JPMorgan Chase,Banking,United States of America,102494,24231,2512986,306616,NorthAmerica
2017,5,Wells Fargo,Banking,United States of America,97573,21938,1943443,274385,NorthAmerica
2017,6,Agricultural Bank of China,Banking,China,115698,27798,2816039,149229,Asia
2017,7,Bank of America,Banking,United States of America,92214,16563,2196847,231876,NorthAmerica
2017,8,Bank of China,Banking,China,113107,24857,2611539,141321,Asia
2017,9,Apple,Technology Hardware & Equipment,United States of America,217481,45217,331141,752039,NorthAmerica
2017,10,Toyota Motor,Consumer Durables,Japan,249902,17112,412496,171850,Asia
2017,11,AT&T,Telecommunications Services,United States of America,163786,12976,403821,249286,NorthAmerica
2017,12,Citigroup,Banking,United States of America,84038,14717,1795099,164316,NorthAmerica
2017,13,ExxonMobil,Oil & Gas Operations,United States of America,197518,7840,330314,343165,NorthAmerica
2017,14,General Electric,Conglomerates,United States of America,119690,10020,365183,261174,NorthAmerica
2017,15,Samsung Electronics,Semiconductors,South Korea,173995,19321,217068,254303,Asia
2017,16,Ping An Insurance Group,Insurance,China,106606,9460,801022,100811,Asia
2017,17,Wal-Mart Stores,Retailing,United States of America,485252,13643,198825,221106,NorthAmerica
2017,18,Verizon Communications,Telecommunications Services,United States of America,125980,13127,244180,198352,NorthAmerica
2017,19,Microsoft,IT Software & Services,United States of America,85270,16768,224610,507544,NorthAmerica
2017,20,Royal Dutch Shell,Oil & Gas Operations,Netherlands,234751,4651,411275,228793,Europe
2017,21,Allianz,Insurance,Germany,115725,7614,935871,83721,Europe
2017,21,China Mobile,Telecommunications Services,Hong Kong,106763,16423,218864,225308,Asia
2017,23,BNP Paribas,Banking,France,74702,8371,2190672,80499,Europe
2017,24,Alphabet,IT Software & Services,United States of America,89920,19478,167497,579499,NorthAmerica
2017,25,China Petroleum & Chemical,Oil & Gas Operations,China,255722,6987,216711,105122,Asia
2017,26,Total,Oil & Gas Operations,France,128067,6156,230978,128122,Europe
2017,27,AXA Group,Insurance,France,132153,6153,925854,60770,Europe
2017,28,Daimler,Consumer Durables,Germany,169537,9431,256292,76099,Europe
2017,28,Volkswagen Group,Consumer Durables,Germany,240340,5690,458742,72941,Europe
2017,30,Mitsubishi UFJ Financial,Banking,Japan,49173,8155,2589758,83858,Asia
2017,31,Comcast,Media,United States of America,80403,8695,180500,193528,NorthAmerica
2017,32,Johnson & Johnson,Health Care Equipment & Services,United States of America,71937,16375,141208,338644,NorthAmerica
2017,33,Banco Santander,Banking,Spain,48336,6863,1412442,89409,Europe
2017,34,Bank of Communications,Banking,China,52995,10141,1209176,62164,Asia
2017,34,Nestle,"Food, Drink & Tobacco",Switzerland,90816,8659,129779,229485,Europe
2017,36,UnitedHealth Group,Health Care Equipment & Services,United States of America,184871,7237,125037,160185,NorthAmerica
2017,37,Nippon Telegraph & Tel,Telecommunications Services,Japan,104972,7385,180257,92230,Asia
2017,38,Itaú Unibanco Holding,Banking,Brazil,61283,6674,419923,79208,SouthAmerica
2017,38,Softbank,Telecommunications Services,Japan,82136,8307,213204,78632,Asia
2017,40,Gazprom,Oil & Gas Operations,Russia,91353,12141,265393,51815,Europe
2017,40,General Motors,Consumer Durables,United States of America,166380,9427,221690,50792,NorthAmerica
2017,42,China Merchants Bank,Banking,China,44491,9381,855070,66376,Asia
2017,43,IBM,IT Software & Services,United States of America,79918,11872,117470,162365,NorthAmerica
2017,44,Royal Bank of Canada,Banking,Canada,35285,8349,891096,107205,NorthAmerica
2017,45,Japan Post Holdings,Insurance,Japan,123728,3125,2522131,55145,Asia
2017,46,Procter & Gamble,Consumer Durables,United States of America,65231,9533,117033,228115,NorthAmerica
2017,47,Pfizer,Drugs & Biotechnology,United States of America,52824,7131,171615,203070,NorthAmerica
2017,48,HSBC Holdings,Banking,United Kingdom,62087,2479,2374986,162638,Europe
2017,49,Goldman Sachs Group,Diversified Financials,United States of America,36854,7398,860165,90648,NorthAmerica
