Year,Rank,Company,Industry,Country,Sales,Profits,Assets,Market Value,Region
2018,1,ICBC,Banking,China,165338,43669,4210927,311014,Asia
2018,2,China Construction Bank,Banking,China,143202,37203,3631583,261166,Asia
2018,3,JPMorgan Chase,Banking,United States of America,118180,26496,2609785,387668,NorthAmerica
2018,4,Berkshire Hathaway,Diversified Financials,United States of America,235165,39742,702651,491888,NorthAmerica
2018,5,Agricultural Bank of China,Banking,China,129345,29639,3439314,184125,Asia
2018,6,Bank of America,Banking,United States of America,102978,20294,2328478,313510,NorthAmerica
2018,7,Wells Fargo,Banking,United States of America,102063,21693,1915388,265328,NorthAmerica
2018,8,Apple,Technology Hardware & Equipment,United States of America,247535,53318,367502,926946,NorthAmerica
2018,9,Bank of China,Banking,China,118150,26354,3204207,158628,Asia
2018,10,Ping An Insurance Group,Insurance,China,141623,13888,1066373,181411,Asia
2018,11,Royal Dutch Shell,Oil & Gas Operations,Netherlands,321766,15159,410719,306459,Europe
2018,12,Toyota Motor,Consumer Durables,Japan,265165,22502,473044,200682,Asia
2018,13,ExxonMobil,Oil & Gas Operations,United States of America,230055,20350,348826,344126,NorthAmerica
2018,14,Samsung Electronics,Semiconductors,South Korea,224644,40994,293154,325865,Asia
2018,15,AT&T,Telecommunications Services,United States of America,159219,30643,446343,198293,NorthAmerica
2018,16,Volkswagen Group,Consumer Durables,Germany,271951,13124,531393,101428,Europe
2018,17,HSBC Holdings,Banking,United Kingdom,63169,10750,2652123,200293,Europe
2018,18,Verizon Communications,Telecommunications Services,United States of America,127992,31196,264516,200893,NorthAmerica
2018,19,BNP Paribas,Banking,France,117774,8501,2353870,93581,Europe
2018,20,Microsoft,IT Software & Services,United States of America,103313,14211,245497,750649,NorthAmerica
2018,21,Chevron,Oil & Gas Operations,United States of America,139397,10151,256442,248119,NorthAmerica
2018,22,Allianz,Insurance,Germany,122549,7673,1128585,100405,Europe
2018,23,Alphabet,IT Software & Services,United States of America,117884,16637,206935,766350,NorthAmerica
2018,24,Walmart,Retailing,United States of America,500343,9862,204522,246178,NorthAmerica
2018,25,China Mobile,Telecommunications Services,Hong Kong,109493,16882,233740,192632,Asia
2018,26,Total,Oil & Gas Operations,France,155776,8391,257022,168012,Europe
2018,27,Sinopec,Oil & Gas Operations,China,326585,8036,249937,138569,Asia
2018,28,UnitedHealth Group,Health Care Equipment & Services,United States of America,207624,11222,155569,228983,NorthAmerica
2018,29,Daimler,Consumer Durables,Germany,193217,11794,323196,85678,Europe
2018,30,PetroChina,Oil & Gas Operations,China,282393,4138,381121,220199,Asia
2018,31,Banco Santander,Banking,Spain,56068,7954,1769144,106323,Europe
2018,32,China Merchants Bank,Banking,China,49936,11024,993732,112449,Asia
