Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth
2009,United States of America,Aerospace & Defense,238040,210110,12810,127690,8.042846768336975,4.061215392996886,-21.36279926335175,-46.32618747372845
2009,United States of America,Banking,513980,9504850,-21010,307770,-27.25805995074868,-0.2641127720613423,-131.15823817292008,-66.85869963172743
2009,United States of America,Business Services & Supplies,143540,217720,5300,102850,-17.30137696606556,-14.733296780762906,-41.885964912280706,-39.97665596731835
2009,United States of America,Capital Goods,195700,206730,13210,82840,-0.5538899334315728,3.3701685084254196,-14.664082687338498,-61.601928246963936
2009,United States of America,Chemicals,215670,210370,15290,153590,18.94440767703507,8.215020576131682,11.850768105340158,-48.890219959402344
2009,United States of America,Conglomerates,379800,997780,34100,231040,6.979888456988337,0.5309770178637985,-13.032389696505998,-61.43484284498155
2009,United States of America,Construction,86940,60410,-2570,28900,-21.32126696832579,-36.38374052232519,-38.0722891566265,-58.59005588193151
2009,United States of America,Consumer Durables,665410,664980,-21660,286580,-12.888487419160576,-21.156719072348295,27.787610619469017,-42.286934106653774
2009,United States of America,Diversified Financials,500670,5200060,-88320,443790,-31.317219051799828,-32.63987750962137,-299.2330250394767,-54.64588656106285
2009,United States of America,Drugs & Biotechnology,539320,538350,48090,633570,8.384244372990345,7.08744430299173,18.975754576942116,-25.16654067844657
2009,United States of America,Food Markets,211530,72820,690,37630,5.902673475518183,-1.687592817604966,-82.39795918367348,-33.30379298121233
2009,United States of America,"Food, Drink & Tobacco",443630,427740,31480,459500,6.37078597803673,-5.698979254392733,-19.178433889602054,-35.215080293823235
2009,United States of America,Health Care Equipment & Services,481380,455770,26650,357480,11.4460341714127,-1.2137763617053543,-3.616636528028938,-36.297378690949266
2009,United States of America,"Hotels, Restaurants & Leisure",82500,104500,5480,90240,0.02424830261882338,-9.664591977869986,-32.26205191594561,-52.46523388116309
2009,United States of America,IT Software & Services,277620,358610,37190,558910,-0.14028272364303707,-3.248347497639281,-13.087169899509233,-33.48684993454718
2009,United States of America,Insurance,316280,3212890,-92720,146350,-32.856384672540074,-16.7299917064068,-318.6792452830189,-70.42717426446816
2009,United States of America,Materials,209190,220280,-4270,88940,-1.124923193269367,-13.973287510739674,-128.77358490566039,-62.1177272340063
2009,United States of America,Media,301980,591820,-30690,191670,3.769629909625105,-9.822027183519232,-239.94528043775648,-54.17114984577864
2009,United States of America,Oil & Gas Operations,1447980,1087420,86770,820540,22.615609995681307,-2.9141296001999883,-29.317367220593027,-42.385091772107465
2009,United States of America,Retailing,1213760,629770,33370,517580,1.0018972805645232,-6.809807780523536,-26.62708883025505,-28.35965507218293
2009,United States of America,Semiconductors,86950,115730,5100,144040,-10.147773070166377,-15.315381238109172,-58.70445344129555,-47.91161899251437
2009,United States of America,Technology Hardware & Equipment,464490,413040,27270,400680,0.5041544054007252,5.93213818573517,-21.162185602775374,-41.816597691134824
2009,United States of America,Telecommunications Services,297620,608390,19640,274400,1.2898614845318734,-1.6775215346574668,-359.44517833553505,-31.610298332627174
2009,United States of America,Transportation,276400,318720,-7690,139040,15.808438429630867,11.72965014372853,-168.29484902309056,-42.230347349177336
2009,United States of America,Utilities,440640,1019990,31530,323140,9.258616414579723,9.126020391787648,-12.924606462303235,-35.763840572507696
2010,United States of America,Aerospace & Defense,247170,223170,13840,199580,3.8354898336414145,6.215791728142395,8.040593286494936,56.30041506774219
2010,United States of America,Banking,609580,9576080,25240,814800,18.599945523172103,0.7494068817498478,-220.13326987148974,164.7431523540306
2010,United States of America,Business Services & Supplies,114590,183470,7160,144680,-20.168594120105897,-15.731214403821426,35.0943396226415,40.67087992221683
2010,United States of America,Capital Goods,132060,188740,6000,167000,-32.519161982626464,-8.702171915058287,-54.57986373959122,101.59343312409463
2010,United States of America,Chemicals,158720,221610,9480,221320,-26.40608336810868,5.342967153111178,-37.99869195552649,44.0979230418647
2010,United States of America,Conglomerates,322600,979870,24010,406880,-15.060558188520279,-1.7949848664034151,-29.589442815249267,76.10803324099722
2010,United States of America,Construction,74720,55680,460,37630,-14.055670577409707,-7.82982949842741,-117.89883268482491,30.207612456747412
2010,United States of America,Consumer Durables,422190,534740,28420,485260,-36.55190033212605,-19.585551445156245,-231.20960295475533,69.32793635285086
2010,United States of America,Diversified Financials,430790,5261600,-49560,849140,-13.957297221722886,1.1834478832936535,-43.8858695652174,91.33824556659683
2010,United States of America,Drugs & Biotechnology,519270,658450,63290,768200,-3.7176444411481158,22.308906844989316,31.607402786442094,21.249427845384083
2010,United States of America,Food Markets,212880,72400,-440,51400,0.6382073464756832,-0.576764625102999,-163.76811594202897,36.59314376826999
2010,United States of America,"Food, Drink & Tobacco",406050,439070,38460,613470,-8.47102314992223,2.6488053490438146,22.17280813214739,33.508161044613715
2010,United States of America,Health Care Equipment & Services,527690,510000,34140,530960,9.620258423698536,11.898545318910859,28.105065666041273,48.5285890119727
2010,United States of America,"Hotels, Restaurants & Leisure",83570,124350,4970,153390,1.2969696969697075,18.995215311004788,-9.306569343065696,69.98005319148936
2010,United States of America,IT Software & Services,257110,381280,47760,875350,-7.387796268280377,6.3216307409163175,28.421618714708252,56.61734447406559
2010,United States of America,Insurance,440230,3441770,2130,280510,39.189958264828626,7.12380442529934,-102.29723899913719,91.67065254526818
2010,United States of America,Materials,137950,213950,3870,163810,-34.05516516085855,-2.8736153985836177,-190.63231850117094,84.18034630087699
2010,United States of America,Media,282470,572730,21410,340090,-6.46069276111001,-3.225642931972561,-169.762137504073,77.43517504043409
