Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth
2011,Japan,Consumer Durables,1165081,1406979,11595,726702,67.03909733472881,83.02403933709708,-219.4129763130793,89.94772335197867
2011,Japan,Diversified Financials,40651,783482,2113,47891,-48.43860984271943,-2.0280105039389817,-128.24866310160428,-52.681553206204924
2011,Japan,Drugs & Biotechnology,138050,128381,6880,109733,92.75342083216978,46.18651787747665,138.06228373702422,14.424400417101158
2011,Japan,Food Markets,57502,41045,505,23994,-21.73404110521301,-20.747248503572113,-59.599999999999994,-7.963176064441891
2011,Japan,"Food, Drink & Tobacco",117542,127949,2935,80710,15.862000985707247,15.290142367994243,30.44444444444445,11.293436293436287
2011,Japan,Health Care Equipment & Services,3381,4483,436,11915,-92.99710024855013,-81.25052279381012,-23.508771929824558,-26.63177339901478
2011,Japan,"Hotels, Restaurants & Leisure",3974,6556,272,8661,-0.649999999999995,0.8615384615384691,43.15789473684211,33.86398763523957
2011,Japan,Insurance,162085,838971,2901,79897,46.524136684143926,80.7309191960535,-323.1538461538462,44.010454217736125
2011,Japan,Materials,31382,41927,677,11099,-84.53479203627046,-80.49181090638378,-82.77353689567431,-87.95681423611111
2011,Japan,Media,65275,60981,1185,32901,-9.666482147799616,-2.89649681528662,inf,-6.184773310521818
2011,Japan,Oil & Gas Operations,231815,182399,3184,72661,-1.0141338229642582,41.647122777044345,-195.6156156156156,90.21204188481676
2011,Japan,Retailing,149973,125395,789,41367,18.536990199178007,49.29753542088344,-7.176470588235295,-3.708100558659222
2011,Japan,Semiconductors,13066,25985,12,21027,1.839438815276706,14.876215738284703,-96.92307692307692,-11.166032953105198
2011,Japan,Technology Hardware & Equipment,59520,45886,1507,20552,-88.96367580797686,-91.07224157051968,-107.69662921348315,-92.40923361034164
2011,Japan,Telecommunications Services,175340,279745,8579,144006,2.9292632814793107,8.478749806111363,3.861985472154972,19.05257936507936
2011,Japan,Trading Companies,341062,451984,9262,133936,-22.645891451770204,4.314431443144318,-20.1551724137931,13.054781801299908
