Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth,clusters
2010,United States of America,Transportation,218430,279270,2830,204610,-20.97322721,-12.37763554,-136.8010403,47.15909091,0
2010,United States of America,Utilities,353570,985910,32090,368890,-19.7598947,-3.341209228,1.776086267,14.15795011,0
2011,United States of America,Aerospace & Defense,246927,235739,16468,203394,-0.098312902,5.632029395,18.98843931,1.911013128,0
2011,United States of America,Banking,590337,9791705,52230,910245,-3.156763673,2.251704246,106.933439,11.71391753,1
2011,United States of America,Business Services & Supplies,132142,190060,6757,157786,15.31721791,3.59186788,-5.62849162,9.058612109,0
2011,United States of America,Capital Goods,176155,212159,13148,258436,33.3901257,12.4080746,119.1333333,54.75209581,0
2011,United States of America,Chemicals,191972,245760,14916,284875,20.95010081,10.89752267,57.34177215,28.71633833,0
2011,United States of America,Conglomerates,334741,971577,28208,518115,3.763484191,-0.846336759,17.48438151,27.33852733,0
2011,United States of America,Construction,69509,46208,1350,39638,-6.974036403,-17.01149425,193.4782609,5.336167951,0
2011,United States of America,Consumer Durables,764371,733077,46966,682289,81.04905374,37.09036167,65.25686137,40.60276965,0
2011,United States of America,Diversified Financials,641930,9325905,25986,775159,49.01227977,77.24465942,-152.433414,-8.71246202,1
2011,United States of America,Drugs & Biotechnology,499555,553288,31602,587231,-3.796676103,-15.97114435,-50.06794122,-23.5575371,0
2011,United States of America,Food Markets,209118,67555,1620,51665,-1.767192785,-6.69198895,-468.1818182,0.515564202,0
2011,United States of America,"Food, Drink & Tobacco",442226,518796,48987,695180,8.90924763,18.1579247,27.37129485,13.31931472,0
2011,United States of America,Health Care Equipment & Services,654529,651709,50208,713354,24.03665031,27.78607843,47.06502636,34.35174024,0
2011,United States of America,"Hotels, Restaurants & Leisure",74238,80649,8909,168966,-11.16668661,-35.14354644,79.2555332,10.15450812,0
2011,United States of America,IT Software & Services,291979,431679,58307,947678,13.56189958,13.2183697,22.08333333,8.262752042,0
2011,United States of America,Insurance,429781,3591018,34063,383296,-2.373532017,4.336373436,1499.201878,36.64254394,0
2011,United States of America,Materials,59628,71192,2776,46290,-56.77564335,-66.72493573,-28.26873385,-71.74165191,0
2011,United States of America,Media,295191,586315,25099,444348,4.503487096,2.371972832,17.23026623,30.65600282,0
2011,United States of America,Oil & Gas Operations,1166990,1393697,95478,1424057,26.25526068,25.43172655,158.1184104,43.43556737,0
2011,United States of America,Retailing,1280367,678184,47919,787243,2.511369095,2.242390436,17.85292671,4.489262297,0
2011,United States of America,Semiconductors,110946,145122,24371,289689,47.16275368,25.78833319,286.2282092,25.18971478,0
2011,United States of America,Technology Hardware & Equipment,393156,486467,49808,826245,-10.65448596,3.675674524,51.39209726,15.1224032,0
2011,United States of America,Telecommunications Services,285440,610090,20390,329294,-3.72044389,-6.043152172,30.45425464,7.174613507,0
2011,United States of America,Transportation,37117,99428,5839,97961,-83.00737078,-64.39717836,106.3250883,-52.12306339,0
2011,United States of America,Utilities,307788,914222,24899,374228,-12.94849676,-7.27125194,-22.40885011,1.447043834,0
2012,United States of America,Aerospace & Defense,237807,242088,15621,180394,-3.693399264,2.69323277,-5.143308234,-11.30810152,0
2012,United States of America,Air Courier,100578,66020,5940,114545,-2.320160828,2.397865806,7.37527115,-7.665954617,0
2012,United States of America,Airline,124917,131738,-35,22159,23.4772552,0.443746378,-102.617801,-27.81849572,0
2012,United States of America,Banking,538171,9839476,66605,824194,-8.836647542,0.487872133,27.52249665,-9.453608644,1
2012,United States of America,Business Services & Supplies,152956,191638,8837,159499,15.75123731,0.830264127,30.78289182,1.085647649,0
